,Variable #,Question #,Variable Name,Source Variables,Description,Type,Location,Length
289,91,Recode,IHS_A,HIKIND07_A,Indian Health Service recode,Num,335,1
290,92,INS.0670.00.1,HILAST_A,,How long since last health coverage,Num,336,1
291,93,INS.0680.00.1,HILASTMY_A,,Number of months without coverage,Num,337 - 338,2
292,94,INS.0690.00.1,HISTOPJOB_A,,Lost job or changed employers,Num,339,1
293,95,INS.0700.00.1,HISTOPMISS_A,,Missed deadline,Num,340,1
294,96,INS.0710.00.1,HISTOPAGE_A,,Ineligible because of age/left school,Num,341,1
295,97,INS.0720.00.1,HISTOPCOST_A,,Cost increase,Num,342,1
296,98,INS.0730.00.1,HISTOPELIG_A,,"Not eligible for Medicaid, CHIP, or other publiccoverage",Num,343,1
297,99,INS.0740.00.1,RSNHICOST_A,,Not affordable,Num,344,1
298,100,INS.0750.00.1,RSNHIWANT_A,,Do not need or want coverage,Num,345,1
299,101,INS.0760.00.1,RSNHIELIG_A,,Not eligible for coverage,Num,346,1
300,102,INS.0770.00.1,RSNHICONF_A,,Signing up too difficult or confusing,Num,347,1
301,103,INS.0780.00.1,RSNHIMEET_A,,Cannot find a plan that meets the needs,Num,348,1
302,104,INS.0790.00.1,RSNHIWAIT_A,,Coverage has not started yet,Num,349,1
303,105,INS.0800.00.1,RSNHIOTH_A,,Another reason,Num,350,1
304,106,Recode,RSNHIJOB_A,RSNHIOTHSP_A,Lost job,Num,351,1
305,107,Recode,RSNHIMISS_A,RSNHIOTHSP_A,Missed deadline,Num,352,1
306,108,INS.0820.00.1,HINOTYR_A,,No health coverage during the past 12 months,Num,353,1
307,109,INS.0830.00.1,HINOTMYR_A,,Months without coverage in the past 12 months,Num,354 - 355,2
308,110,INS.0660.01.1,MILSPC1_A,,"Types of military health care - VA health care originalresponse",Num,356,1
309,111,INS.0010.00.1,HICOV_A,,Have health insurance,Num,357,1
310,112,INS.0020.01.1,HIKIND01_A,,Kind(s) of health insurance - private health insurance,Num,358,1
311,113,INS.0020.02.1,HIKIND02_A,,Kind(s) of health insurance - Medicare,Num,359,1
312,114,INS.0020.03.1,HIKIND03_A,,"Kind(s) of health insurance - Medicare supplement(Medigap)",Num,360,1
313,115,INS.0020.04.1,HIKIND04_A,,Kind(s) of health insurance - Medicaid,Num,361,1
314,116,INS.0020.05.1,HIKIND05_A,,Kind(s) of health insurance - CHIP,Num,362,1
315,117,INS.0020.06.1,HIKIND06_A,,"Kind(s) of health insurance - military related healthcare",Num,363,1
316,118,INS.0020.07.1,HIKIND07_A,,Kind(s) of health insurance - Indian Health Service,Num,364,1
317,119,INS.0020.08.1,HIKIND08_A,,"Kind(s) of health insurance - State-sponsored healthplan",Num,365,1
318,120,INS.0020.09.1,HIKIND09_A,,Kind(s) of health insurance - Other government program,Num,366,1
319,121,INS.0020.10.1,HIKIND10_A,,Kind(s) of health insurance - No coverage of any type,Num,367,1
320,122,INS.0030.00.1,MCAREPRB_A,,Medicare coverage probe,Num,368,1
321,123,INS.0040.00.1,MCAIDPRB_A,,Medicaid coverage probe,Num,369,1
323,1,PAY.0020.00.1,PAYBLL12M_A,,"Problems paying medical bills, past 12m",Num,370,1
324,2,PAY.0030.00.1,PAYNOBLLNW_A,,Unable to pay medical bills,Num,371,1
325,3,PAY.0040.00.1,PAYWORRY_A,,"Get sick or have accident, worry about paying medicalbills",Num,372,1
327,1,CVL.0020.00.4,CVDDIAG_A,,Ever had COVID-19,Num,373,1
328,2,CVL.0030.00.4,POSTEST_A,,Ever had positive COVID-19 test,Num,374,1
329,3,CVL.0040.00.4,CVDSEV_A,,Symptoms of COVID-19,Num,375,1
330,4,CVL.0050.00.4,LONGCVD_A,,Had COVID-19 symptoms for 3 or more months,Num,376,1
331,5,CVL.0060.00.4,SYMPNOW_A,,Currently has COVID-19 symptoms,Num,377,1
333,1,DNC.0020.00.2,DENPREV_A,,Time since last dental exam/cleaning,Num,378,1
334,2,DNC.0030.00.2,DENDL12M_A,,"Delayed dental care due to cost, past 12m",Num,379,1
335,3,DNC.0040.00.2,DENNG12M_A,,"Needed dental care but did not get it due to cost, past12m",Num,380,1
337,1,UTZ.0020.00.1,LASTDR_A,,Time since last saw doctor,Num,381,1
338,2,UTZ.0030.00.1,WELLNESS_A,,Was last visit a wellness visit,Num,382,1
339,3,UTZ.0040.00.1,WELLVIS_A,,Time since last wellness visit,Num,383,1
340,4,UTZ.0050.00.1,USUALPL_A,,Have a usual place for care,Num,384,1
341,5,UTZ.0060.00.1,USPLKIND_A,,Type of place for usual care,Num,385,1
342,6,Recode,URGNT12MTC_A,URGENT12M_A,"Number of times visited urgent care, past 12m, top-coded",Num,386,1
343,7,Recode,EMERG12MTC_A,EMERGE12M_A,"Number of times visited hospital emergency room, past12m, top-coded",Num,387,1
344,8,UTZ.0090.00.1,HOSPONGT_A,,"Hospitalized overnight, past 12m",Num,388,1
345,9,UTZ.0100.00.1,MEDDL12M_A,,"Delayed medical care due to cost, past 12m",Num,389,1
346,10,UTZ.0110.00.1,MEDNG12M_A,,"Needed medical care but did not get it due to cost, past12m",Num,390,1
348,1,ABH.0010.00.4,ABINSUR_A,,"Delay care because can't find doctor that acceptsinsurance",Num,391,1
349,2,ABH.0020.00.4,ABAVAIL_A,,Delay care because an appointment wasn't available,Num,392,1
350,3,ABH.0030.00.4,ABOPEN_A,,"Delay care because couldn't get to doctor's office whenopen",Num,393,1
351,4,ABH.0040.00.4,ABTOOLONG_A,,"Delay care because takes too long to get to doctor'soffice",Num,394,1
352,5,ABH.0050.00.4,ABTIME_A,,Delay care because you were too busy to take the time,Num,395,1
354,1,TLH.0010.00.4,VIRAPP12M_A,,"Virtual medical appointment, past 12m",Num,396,1
356,1,HIT.0010.00.4,ACCSSINT_A,,Internet access,Num,397,1
357,2,HIT.0020.00.4,ACCSSHOM_A,,Internet access at home,Num,398,1
358,3,HIT.0030.00.4,HITLOOK_A,,Used internet for health information,Num,399,1
359,4,HIT.0040.00.4,HITCOMM_A,,Communicated with doctor's office,Num,400,1
360,5,HIT.0050.00.4,HITTEST_A,,Used internet for test results,Num,401,1
362,1,PMD.0010.00.1,RX12M_A,,"Took prescription medication, past 12m",Num,402,1
363,2,PMD.0020.00.1,RXSK12M_A,,"Skipped medication doses to save money, past 12m",Num,403,1
364,3,PMD.0030.00.1,RXLS12M_A,,"Took less medication to save money, past 12m",Num,404,1
365,4,PMD.0040.00.1,RXDL12M_A,,"Delayed filling prescription to save money, past 12m",Num,405,1
366,5,PMD.0050.00.1,RXDG12M_A,,"Needed prescription medication but did not get it due tocost, past 12m",Num,406,1
368,1,IMS.0010.00.3,PREGFLUYR_A,,Was sample adult pregnant last flu season,Num,407,1
369,2,IMS.0020.00.3,LIVEBIRTH_A,,Any live births,Num,408,1
370,3,IMS.0030.00.1,SHTFLU12M_A,,"Flu vaccine, past 12 months",Num,409,1
371,4,IMS.0040.01.1,SHTFLUM_A,,Month of last flu vaccine,Num,410 - 411,2
372,5,IMS.0040.02.1,SHTFLUY_A,,Year of last flu vaccine,Num,412 - 415,4
373,6,IMS.0050.00.3,FLUPREG_A,,Was flu shot before or during pregnancy,Num,416,1
374,7,IMS.0060.00.3,FLUPREG2_A,,Earlier pregnancy and flu vaccine,Num,417,1
375,8,IMS.0061.00.3,SHTCVD191_A,,COVID-19 vaccination,Num,418,1
376,9,IMS.0062.00.3,SHTCVD19NM_A,,Number of COVID-19 vaccinations,Num,419,1
377,10,IMS.0063.01.3,CVDVAC1M_A,,Month of most recent COVID-19 vaccination,Num,420 - 421,2
378,11,IMS.0063.02.3,CVDVAC1Y_A,,Year of most recent COVID-19 vaccination,Num,422 - 425,4
379,12,IMS.0064.01.3,CVDVAC2M_A,,Month of next most recent COVID-19 vaccination,Num,426 - 427,2
380,13,IMS.0064.02.3,CVDVAC2Y_A,,Year of next most recent COVID-19 vaccination,Num,428 - 431,4
381,14,Recode,SHOTTYPER_A,"SHOTTYPE_A;SHOTTYPE1_A",Brand of first COVID-19 shot,Num,432,1
382,15,IMS.0065.00.3,SHOTTYPE_A,,Brand of first COVID-19 shot,Num,433,1
383,16,IMS.0065.00.3,SHOTTYPE1_A,,Brand of first COVID-19 shot,Num,434,1
384,17,IMS.0070.00.1,SHTPNUEV_A,,Ever had pneumonia shot,Num,435,1
385,18,IMS.0080.00.1,SHTPNEUNB_A,,Number of pneumonia shots,Num,436,1
386,19,IMS.0090.00.3,SHTSHINGL1_A,,Ever had a shingles vaccination,Num,437,1
387,20,Recode,SHINGYEARP_A,SHINGYEAR_A,Year of most recent Shingles vaccine,Num,438 - 441,4
388,21,IMS.0110.00.3,SHINGWHEN1_A,,Was last shingles shot before 2017,Num,442,1
389,22,IMS.0120.00.3,SHINGRIX2_A,,Ever had Shingrix vaccination,Num,443,1
390,23,IMS.0140.00.3,SHINGRIXN2_A,,How many Shingrix shots,Num,444,1
391,24,IMS.0150.00.3,SHINGRIXFS_A,,First or second Shingrix shot,Num,445,1
392,25,IMS.0170.00.3,TDAPPREG_A,,Have a Tdap booster shot,Num,446,1
393,26,IMS.0180.00.3,SHTTETANUS_A,,Tetanus shot in past 10 years,Num,447,1
394,27,IMS.0190.00.3,SHTTDAP_A,,Kind of tetanus shot,Num,448,1
395,28,IMS.0200.00.3,SHTHPV_A,,Ever had an HPV shot,Num,449,1
396,29,IMS.0210.00.3,SHTHPVAGE_A,,Age at first HPV shot,Num,450 - 451,2
397,30,IMS.0220.00.3,WORKHEALTH_A,,Currently provide medical care to patients,Num,452,1
398,31,IMS.0230.00.3,WRKHLTHFC_A,,Currently volunteer or work in health care,Num,453,1
400,1,PTC.0010.00.2,EYEEX12M_A,,"Had eye exam, past 12m",Num,454,1
401,2,PTC.0020.00.2,THERA12M_A,,"Received physical/speech/rehabilitative/occupationaltherapy, past 12m",Num,455,1
402,3,PTC.0030.00.2,HOMEHC12M_A,,"Received care at home, past 12m",Num,456,1
404,1,ANX.0010.00.1,ANXFREQ_A,,"How often feel worried, nervous, or anxious",Num,457,1
405,2,ANX.0020.00.1,ANXMED_A,,Take medication for worried/nervous/anxious feelings,Num,458,1
406,3,ANX.0030.00.1,ANXLEVEL_A,,Level of feelings when last felt worried/nervous/anxious,Num,459,1
408,1,DEP.0010.00.1,DEPFREQ_A,,How often depressed,Num,460,1
409,2,DEP.0020.00.1,DEPMED_A,,Take medication for depression,Num,461,1
410,3,DEP.0030.00.1,DEPLEVEL_A,,Level of how depressed,Num,462,1
412,1,MHC.0010.00.1,MHRX_A,,"Took medication for otheremotions/concentration/behavior/mental health, past 12m",Num,463,1
413,2,MHC.0020.00.1,MHTHRPY_A,,"Received counseling/therapy from mental healthprofessional, past 12m",Num,464,1
414,3,MHC.0030.00.1,MHTPYNOW_A,,"Currently receiving counseling/therapy from mentalhealth professional",Num,465,1
415,4,MHC.0040.00.1,MHTHDLY_A,,"Delayed counseling/therapy due to cost, past 12m",Num,466,1
416,5,MHC.0050.00.1,MHTHND_A,,"Needed counseling/therapy but did not get it due tocost, past 12m",Num,467,1
418,1,PHQ.0010.00.2,PHQ81_A,,"How often little interest in things, past 2 weeks",Num,468,1
419,2,PHQ.0020.00.2,PHQ82_A,,"How often feeling down, past 2 weeks",Num,469,1
420,3,PHQ.0030.00.2,PHQ83_A,,"How often trouble with sleeping, past 2 weeks",Num,470,1
421,4,PHQ.0040.00.2,PHQ84_A,,"How often feeling tired, past 2 weeks",Num,471,1
422,5,PHQ.0050.00.2,PHQ85_A,,"How often undereating or overeating, past 2 weeks",Num,472,1
423,6,PHQ.0060.00.2,PHQ86_A,,"How often feeling bad about self, past 2 weeks",Num,473,1
424,7,PHQ.0070.00.2,PHQ87_A,,"How often trouble concentrating, past 2 weeks",Num,474,1
425,8,PHQ.0080.00.2,PHQ88_A,,"How often moving or speaking slow or fast, past 2 weeks",Num,475,1
426,9,Recode,PHQCAT_A,PHQ81_A-PHQ88_A,"Severity of depressive symptoms - PHQ scalecategorization",Num,476,1
428,1,GAD.0010.00.2,GAD71_A,,"How often felt nervous/anxious/on edge, past 2 weeks",Num,477,1
429,2,GAD.0020.00.2,GAD72_A,,"How often can't stop/control worrying, past 2 weeks",Num,478,1
430,3,GAD.0030.00.2,GAD73_A,,"How often worrying too much, past 2 weeks",Num,479,1
431,4,GAD.0040.00.2,GAD74_A,,"How often had trouble relaxing, past 2 weeks",Num,480,1
432,5,GAD.0050.00.2,GAD75_A,,"How often can't sit still, past 2 weeks",Num,481,1
433,6,GAD.0060.00.2,GAD76_A,,"How often became easily annoyed, past 2 weeks",Num,482,1
434,7,GAD.0070.00.2,GAD77_A,,"How often felt afraid, past 2 weeks",Num,483,1
435,8,Recode,GADCAT_A,GAD71_A-GAD77_A,Severity of anxiety symptoms - GAD scale categorization,Num,484,1
437,1,FGE.0010.00.2,FGEFRQTRD_A,,"How often tired, past 3m",Num,485,1
438,2,FGE.0020.00.2,FGELNGTRD_A,,How long tiredness lasted,Num,486,1
439,3,FGE.0030.00.2,FGELEVTRD_A,,Level of tiredness,Num,487,1
441,1,CIG.0020.00.1,SMKEV_A,,Ever smoked 100 cigarettes,Num,488,1
442,2,CIG.0030.00.2,SMKAGE_A,,Age started smoking regularly,Num,489 - 490,2
443,3,CIG.0040.00.1,SMKNOW_A,,Now smoke cigarettes,Num,491,1
444,4,Recode,SMKCIGST_A,SMKEV_A; SMKNOW_A,Cigarette smoking status,Num,492,1
445,5,CIG.0050.00.1,CIGNOW_A,,Number of cigarettes a day,Num,493 - 494,2
446,6,CIG.0060.00.1,SMK30D_A,,Number of days smoked past month,Num,495 - 496,2
447,7,CIG.0070.00.1,CIG30D_A,,Number of cigarettes on days smoked past month,Num,497 - 498,2
448,8,CIG.0075.00.3,MENTHOLC_A,,Smoke menthol or non-menthol cigarettes,Num,499,1
449,9,CIG.0080.00.2,SMKQT12M_A,,"Stopped smoking for 1+ day, past 12 months",Num,500,1
450,10,Recode,SMKQTNP_A,SMKQTN_A,Time since quitting smoking-number,Num,501 - 503,3
451,11,CIG.0090.02.2,SMKQTTP_A,,Time since quitting smoking-time period,Num,504,1
452,12,Recode,SMKQTY_A,SMKQTTP_A; SMKQTN_A,Years since quit smoking,Num,505 - 506,2
453,13,CIG.0120.00.3,MENTHOLF_A,,Smoked menthol or non-menthol cigarettes,Num,507,1
454,14,CIG.0140.00.2,SMKTLK1_A,,"Advised by doctor about quitting, past 12m",Num,508,1
455,15,CIG.0150.00.1,ECIGEV_A,,Ever used electronic cigarettes,Num,509,1
456,16,CIG.0160.00.1,ECIGNOW_A,,Now use electronic cigarettes,Num,510,1
457,17,Recode,SMKECIGST_A,ECIGEV_A; ECIGNOW_A,Electronic cigarette use status,Num,511,1
458,18,CIG.0170.00.3,FQUITA1_A,,"Quit method-nicotine patch, former smoker",Num,512,1
459,19,CIG.0180.00.3,FQUITA2_A,,"Quit method-nicotine gum or lozenge, former smoker",Num,513,1
460,20,CIG.0190.00.3,FQUITA3_A,,"Quit method-nicotine nasal spray or inhaler, formersmoker",Num,514,1
461,21,CIG.0200.00.3,FQUITA4_A,,"Quit method-Chantix/Varenicline, former smoker",Num,515,1
462,22,CIG.0210.00.3,FQUITA5_A,,"Quit method-Zyban/Bupropion/Wellbutrin, former smoker",Num,516,1
463,23,CIG.0220.00.3,FQUITB1_A,,"Quit method-phone/help line, former smoker",Num,517,1
464,24,CIG.0230.00.3,FQUITB2_A,,"Quit method-one-on-one counseling, former smoker",Num,518,1
465,25,CIG.0240.00.3,FQUITB3_A,,"Quit method-stop smoking clinic/class/support group -former smoker",Num,519,1
466,26,CIG.0250.00.3,FQUITE_A,,"Quit method-e-cigarettes, former smoker",Num,520,1
467,27,CIG.0260.00.3,CQUITA1_A,,"Quit method-nicotine patch, attempted to quit smoking",Num,521,1
468,28,CIG.0270.00.3,CQUITA2_A,,"Quit method-nicotine gum or lozenge, attempted to quitsmoking",Num,522,1
469,29,CIG.0280.00.3,CQUITA3_A,,"Quit method-nicotine nasal spray or inhaler, attemptedto quit smoking",Num,523,1
470,30,CIG.0290.00.3,CQUITA4_A,,"Quit method-Chantix/Varenicline, attempted to quitsmoking",Num,524,1
471,31,CIG.0300.00.3,CQUITA5_A,,"Quit method-Zyban/Bupropion/Wellbutrin, attempted toquit smoking",Num,525,1
472,32,CIG.0310.00.3,CQUITB1_A,,"Quit method-phone/help line, attempted to quit smoking",Num,526,1
473,33,CIG.0320.00.3,CQUITB2_A,,"Quit method-one-on-one counseling, attempted to quitsmoking",Num,527,1
474,34,CIG.0330.00.3,CQUITB3_A,,"Quit method-stop smoking clinic/class/support group -attempted to quit smoking",Num,528,1
475,35,CIG.0340.00.3,CQUITE_A,,"Quit method-e-cigarettes, attempted to quit smoking",Num,529,1
476,36,CIG.0350.00.3,QWANT_A,,Want to quit smoking,Num,530,1
478,1,OTB.0010.00.3,CIGAREV_A,,Ever smoked a cigar,Num,531,1
479,2,OTB.0020.00.3,CIGARCUR_A,,Now smoke cigars,Num,532,1
480,3,OTB.0030.00.3,CIGAR30D_A,,"How many days smoked a cigar, past 30 days",Num,533 - 534,2
481,4,OTB.0040.00.3,PIPEEV_A,,Ever smoked a pipe filled with tobacco,Num,535,1
482,5,OTB.0050.00.3,PIPECUR_A,,Now smoked pipe filled with tobacco,Num,536,1
483,6,OTB.0060.00.3,SMOKELSEV_A,,Ever used smokeless tobacco,Num,537,1
484,7,OTB.0070.00.3,SMOKELSCUR_A,,Now use smokeless tobacco,Num,538,1
486,1,AQS.0010.00.3,HPTOB3_A,,"Advised by doctor about quitting smoking or using othertobacco, past 12m",Num,539,1
488,1,ALC.0010.00.2,DRKLIFE_A,,Had at least one alcohol drink in lifetime,Num,540,1
489,2,ALC.0020.01.2,DRK12MN_A,,Days drank alcohol past 12m-number,Num,541 - 543,3
490,3,ALC.0020.02.2,DRK12MTP_A,,Days drank alcohol past 12m-time period,Num,544,1
491,4,Recode,DRK12MWK_A,"DRK12MN_A;DRK12MTP_A","Days drank alcohol per week, past 12m",Num,545 - 546,2
492,5,Recode,DRK12MYR_A,"DRK12MN_A;DRK12MTP_A","Days drank alcohol per year, past 12m",Num,547 - 549,3
493,6,ALC.0030.00.2,DRKAVG12M_A,,Average number of alcohol drinks on days drank,Num,550 - 551,2
494,7,ALC.0040.00.2,DRK12ANYR_A,,Ever had 12+ alcohol drinks in any one year,Num,552,1
495,8,Recode,DRKSTAT_A,"DRKLIFE_A;DRK12MN_A;DRK12MTP_A;DRKAVG12M_A;DRK12ANYR_A; SEX_A",Alcohol drinking status,Num,553 - 554,2
496,9,ALC.0050.00.2,DRKBNG12M_A,,"Ever had 4+/5+ alcohol drinks in a day, past 12m",Num,555,1
497,10,ALC.0060.00.2,DRKANY30D_A,,"Had any alcohol drink, past 30 days",Num,556,1
498,11,ALC.0070.00.2,DRKBNG30D_A,,"Number of times had 4+/5+ alcohol drinks on an occasion,past 30d",Num,557 - 558,2
499,12,Recode,DRKHVY12M_A,"DRKAVG12M_A;DRKBNG12M_A;DRKBNG30D_A; SEX_A",Heavy alcohol drinking in the past 12m,Num,559,1
500,13,ALC.0080.00.2,DRKADVISE1_A,,"Advised by doctor to cut drinking, past 12m",Num,560,1
502,1,Recode,MODNR_A,MODN_A,Moderate physical activity-number,Num,561 - 564,4
503,2,Recode,MODTPR_A,MODTP_A,Moderate physical activity-time period,Num,565,1
504,3,Recode,MODFREQW_A,MODN_A and MODTP_A,Frequency of moderate physical activity (times per week),Num,566 - 567,2
505,4,Recode,MODLNR_A,MODLN_A,Length of moderate physical activity-number,Num,568 - 570,3
506,5,Recode,MODLTPR_A,MODLTP_A,Length of moderate physical activity-time period,Num,571,1
507,6,Recode,MODMIN_A,MODLN_A and MODLTP_A,Duration of moderate physical activity (in minutes),Num,572 - 574,3
508,7,Recode,VIGNR_A,VIGN_A,Vigorous physical activity-number,Num,575 - 578,4
509,8,Recode,VIGTPR_A,VIGTP_A,Vigorous physical activity-time period,Num,579,1
510,9,Recode,VIGFREQW_A,VIGN_A and VIGTP_A,Frequency of vigorous physical activity (times per week),Num,580 - 581,2
511,10,Recode,VIGLNR_A,VIGLN_A,Length of vigorous physical activity-number,Num,582 - 584,3
512,11,Recode,VIGLTPR_A,VIGLTP_A,Length of vigorous physical activity-time period,Num,585,1
513,12,Recode,VIGMIN_A,VIGLN_A and VIGLTP_A,Duration of vigorous physical activity (in minutes),Num,586 - 588,3
514,13,Recode,PA18_02R_A,"MODN_A; MODTP_A;MODLN_A; MODLTP_A;VIGN_A; VIGTP_A;VIGLN_A; VIGLTP_A",Physical activity met guidelines for aerobic activity,Num,589,1
515,14,Recode,STRNR_A,STRN_A,Strengthening physical activity-number,Num,590 - 593,4
516,15,Recode,STRTPR_A,STRTP_A,Strengthening physical activity-time period,Num,594,1
517,16,Recode,STRFREQW_A,STRN_A and STRTP_A,"Frequency of strengthening physical activity (times perweek)",Num,595 - 596,2
518,17,Recode,PA18_05R_A,"MODN_A; MODTP_A;MODLN_A; MODLTP_A;VIGN_A; VIGTP_A;VIGLN_A; VIGLTP_A;STRN_A; STRTP_A","Physical activity met guidelines for aerobic and/orstrengthening activity",Num,597,1
520,1,WLK.0010.00.2,WLKTRAN_A,,"Walk for transportation, past 7 days",Num,598,1
521,2,WLK.0020.00.2,WLKTRANDAY_A,,"How many days for transportation walk, past 7 days",Num,599 - 600,2
522,3,WLK.0030.00.2,WLKTRANTPD_A,,"How many times per day for transportation walk, past 7days",Num,601 - 602,2
523,4,Recode,WLKTRANTC_A,"WLKTRANDAY_A,WLKTRANTPD_A,WLKTRANLGT_A,WLKTRANTP_A","Length of walk for transportation, top coded at 181minutes",Num,603 - 605,3
524,5,WLK.0050.00.2,WLKLEIS_A,,"Walk for leisure, past 7 days",Num,606,1
525,6,WLK.0060.00.2,WLKLEISDAY_A,,"How many days for leisure walk, past 7 days",Num,607 - 608,2
526,7,WLK.0070.00.2,WLKLEISTPD_A,,"How many times per day for leisure walk, past 7 days",Num,609 - 610,2
527,8,Recode,WLKLEISTC_A,"WLKLEISDAY_A,WLKLEISTPD_A,WLKLEISLGT_A,WLKLEISTP_A","Length of walk for leisure, top-coded at 181 minutes",Num,611 - 613,3
529,1,CPA.0010.00.2,ADVACTIVE_A,,Doctor advised increase activity,Num,614,1
531,1,SLP.0010.01.2,SLPHOURS_A,,Hours of sleep in a 24-hour period,Num,615 - 616,2
532,2,SLP.0020.00.2,SLPREST_A,,"Wake up well rested, past 30 days",Num,617,1
533,3,SLP.0030.00.2,SLPFLL_A,,"Trouble falling asleep, past 30 days",Num,618,1
534,4,SLP.0040.00.2,SLPSTY_A,,"Trouble staying asleep, past 30 days",Num,619,1
535,5,SLP.0050.00.2,SLPMED_A,,"Take medication for sleep, past 30 days",Num,620,1
537,1,DNU.0010.01.3,SODANO_A,,Number of times drank soda with sugar,Num,621 - 623,3
538,2,DNU.0010.02.3,SODATP_A,,Number of times drank soda - time period,Num,624,1
539,3,DNU.0020.01.3,FRJUICNO_A,,Number of times drank pure fruit juice,Num,625 - 627,3
540,4,DNU.0020.02.3,FRJUICTP_A,,Number of times drank pure fruit juice - time period,Num,628,1
541,5,DNU.0030.01.3,COFFEENO_A,,Number of times drank coffee or tea with sugar,Num,629 - 631,3
542,6,DNU.0030.02.3,COFFEENOTP_A,,"Number of times drank coffee or tea with sugar - timeperiod",Num,632,1
543,7,DNU.0040.01.3,SPORDRNO_A,,Number of times drank sport or energy drinks,Num,633 - 635,3
544,8,DNU.0040.02.3,SPORDRTP_A,,"Number of times drank sport or energy drinks - timeperiod",Num,636,1
545,9,DNU.0050.01.3,FRTDRNO_A,,Number of times drank sweetened fruit drinks,Num,637 - 639,3
546,10,DNU.0050.02.3,FRTDRTP_A,,"Number of times drank sweetened fruit drinks - timeperiod",Num,640,1
547,11,DNU.0060.01.3,FRUITNO_A,,Number of times eat fruit,Num,641 - 643,3
548,12,DNU.0060.02.3,FRUITTP_A,,Number of times eat fruit - time period,Num,644,1
549,13,DNU.0070.01.3,SALADNO_A,,Number of times eat salad,Num,645 - 647,3
550,14,DNU.0070.02.3,SALADTP_A,,Number of times eat salad - time period,Num,648,1
551,15,DNU.0080.01.3,FRIESNO_A,,Number of times eat fried potatoes,Num,649 - 651,3
552,16,DNU.0080.02.3,FRIESTP_A,,Number of times eat fried potatoes - time period,Num,652,1
553,17,DNU.0090.01.3,POTATONO_A,,Number of times eat other kinds of potatoes,Num,653 - 655,3
554,18,DNU.0090.02.3,POTATOTP_A,,Number of times eat other kind of potatoes - time period,Num,656,1
555,19,DNU.0100.01.3,BEANSNO_A,,Number of times eat beans,Num,657 - 659,3
556,20,DNU.0100.02.3,BEANSTP_A,,Number of times eat beans - time period,Num,660,1
557,21,DNU.0110.01.3,OVEGNO_A,,Number of times eat other vegetables,Num,661 - 663,3
558,22,DNU.0110.02.3,OVEGTP_A,,Number of times eat other vegetables - time period,Num,664,1
559,23,DNU.0120.01.3,SALSANO_A,,Number of times eat salsa,Num,665 - 667,3
560,24,DNU.0120.02.3,SALSATP_A,,Number of times eat salsa - time period,Num,668,1
561,25,DNU.0130.01.3,PIZZANO_A,,Number of times eat pizza,Num,669 - 671,3
562,26,DNU.0130.02.3,PIZZATP_A,,Number of times eat pizza - time period,Num,672,1
563,27,DNU.0140.01.3,TOMSAUNO_A,,Number of times eat tomato sauce,Num,673 - 675,3
564,28,DNU.0140.02.3,TOMSAUTP_A,,Number of times eat tomato sauce - time period,Num,676,1
566,1,CIH.0010.00.3,CHIRO_A,,Seen or talked to a chiropractor,Num,677,1
567,2,CIH.0020.00.3,CHIROPAIN_A,,Chiropractor visit for pain,Num,678,1
568,3,CIH.0030.00.3,CHIROHLTH_A,,Chiropractor visit to restore overall health,Num,679,1
569,4,CIH.0040.00.3,ACU_A,,Saw a practitioner of acupuncture,Num,680,1
570,5,CIH.0050.00.3,ACUPAIN_A,,Acupuncture visit for pain,Num,681,1
571,6,CIH.0060.00.3,ACUHLTH_A,,Acupuncture visit to restore overall health,Num,682,1
572,7,CIH.0070.00.3,MASS_A,,Saw a practitioner of massage,Num,683,1
573,8,CIH.0080.00.3,MASSPAIN_A,,Massage visit for pain,Num,684,1
574,9,CIH.0090.00.3,MASSHLTH_A,,Massage visit to restore overall health,Num,685,1
575,10,CIH.0100.00.3,NATUR_A,,Saw a practitioner of naturopathy,Num,686,1
576,11,CIH.0110.00.3,NATURPAIN_A,,Naturopath visit for pain,Num,687,1
577,12,CIH.0120.00.3,NATURHLTH_A,,Naturopath visit to restore overall health,Num,688,1
578,13,CIH.0130.00.3,ARTTHPY_A,,Saw an art therapist,Num,689,1
579,14,CIH.0140.00.3,MUSICTHPY_A,,Saw a music therapist,Num,690,1
580,15,CIH.0150.00.3,MEDITATE_A,,Practice meditation,Num,691,1
581,16,CIH.0160.00.3,MEDIPAIN_A,,Meditation for pain,Num,692,1
582,17,CIH.0170.00.3,MEDIHLTH_A,,Meditation to restore overall health,Num,693,1
583,18,CIH.0180.00.3,GIPR_A,,Use guided imagery or progressive relaxation,Num,694,1
584,19,CIH.0190.00.3,GIPRPAIN_A,,Use guided imagery or progressive relaxation for pain,Num,695,1
585,20,CIH.0200.00.3,GIPRHLTH_A,,"Use guided imagery or progressive relaxation to restoreoverall health",Num,696,1
586,21,CIH.0210.00.3,YOGA_A,,Practice Yoga,Num,697,1
587,22,CIH.0220.00.3,YOGABRTH_A,,Breathing exercises as part of Yoga,Num,698,1
588,23,CIH.0230.00.3,YOGAMED_A,,Meditation as part of Yoga,Num,699,1
589,24,CIH.0240.00.3,YOGAPAIN_A,,Yoga for pain,Num,700,1
590,25,CIH.0250.00.3,YOGAHLTH_A,,Yoga to restore overall health,Num,701,1
592,1,VSL.0010.00.3,VSLVYR_A,,Voice problem in the past 12m,Num,702,1
